;SIN_YEAR;SIN_WEEK;FIRST_DAY;CASES;IMPORTED
331;2007;20;2007-05-20;340;4
332;2007;21;2007-05-27;227;0
333;2007;22;2007-06-03;256;0
334;2007;23;2007-06-10;153;0
335;2007;24;2007-06-17;157;0
336;2007;25;2007-06-24;215;1
337;2007;26;2007-07-01;156;1
338;2007;27;2007-07-08;120;0
339;2007;28;2007-07-15;64;0
340;2007;29;2007-07-22;78;1
341;2007;30;2007-07-29;80;1
342;2007;31;2007-08-05;88;1
343;2007;32;2007-08-12;64;0
344;2007;33;2007-08-19;73;0
345;2007;34;2007-08-26;48;0
346;2007;35;2007-09-02;38;0
347;2007;36;2007-09-09;59;0
348;2007;37;2007-09-16;25;1
349;2007;38;2007-09-23;39;3
350;2007;39;2007-09-30;42;1
351;2007;40;2007-10-07;28;0
352;2007;41;2007-10-14;18;0
353;2007;42;2007-10-21;25;0
354;2007;43;2007-10-28;35;0
355;2007;44;2007-11-04;37;0
356;2007;45;2007-11-11;50;1
357;2007;46;2007-11-18;70;2
358;2007;47;2007-11-25;80;1
359;2007;48;2007-12-02;127;1
360;2007;49;2007-12-09;114;1
361;2007;50;2007-12-16;122;0
362;2007;51;2007-12-23;191;1
363;2007;52;2007-12-30;207;0
364;2008;1;2008-01-06;0;0
365;2008;2;2008-01-13;4;0
366;2008;3;2008-01-20;743;9
367;2008;4;2008-01-27;946;11
368;2008;5;2008-02-03;961;9
369;2008;6;2008-02-10;671;12
370;2008;7;2008-02-17;829;14
371;2008;8;2008-02-24;1084;24
372;2008;9;2008-03-02;1409;25
373;2008;10;2008-03-09;1713;48
374;2008;11;2008-03-16;2352;53
375;2008;12;2008-03-23;2767;56
376;2008;13;2008-03-30;2537;53
377;2008;14;2008-04-06;3988;83
378;2008;15;2008-04-13;3428;24
379;2008;16;2008-04-20;2543;26
380;2008;17;2008-04-27;1925;22
381;2008;18;2008-05-04;1387;8
382;2008;19;2008-05-11;891;4
383;2008;20;2008-05-18;636;7
384;2008;21;2008-05-25;404;5
385;2008;22;2008-06-01;257;3
386;2008;23;2008-06-08;204;1
387;2008;24;2008-06-15;80;3
388;2008;25;2008-06-22;111;0
389;2008;26;2008-06-29;68;1
390;2008;27;2008-07-06;36;1
391;2008;28;2008-07-13;35;0
392;2008;29;2008-07-20;24;0
393;2008;30;2008-07-27;35;0
394;2008;31;2008-08-03;69;0
395;2008;32;2008-08-10;12;0
396;2008;33;2008-08-17;27;1
397;2008;34;2008-08-24;12;0
398;2008;35;2008-08-31;15;1
399;2008;36;2008-09-07;6;0
400;2008;37;2008-09-14;11;0
401;2008;38;2008-09-21;18;0
402;2008;39;2008-09-28;5;0
403;2008;40;2008-10-05;15;1
404;2008;41;2008-10-12;8;0
405;2008;42;2008-10-19;8;0
406;2008;43;2008-10-26;23;0
407;2008;44;2008-11-02;18;0
408;2008;45;2008-11-09;13;0
409;2008;46;2008-11-16;25;0
410;2008;47;2008-11-23;29;0
411;2008;48;2008-11-30;45;1
412;2008;49;2008-12-07;35;1
413;2008;50;2008-12-14;54;4
414;2008;51;2008-12-21;32;0
415;2008;52;2008-12-28;29;3
416;2009;1;2009-01-04;0;0
417;2009;2;2009-01-11;23;2
418;2009;3;2009-01-18;44;2
419;2009;4;2009-01-25;34;0
420;2009;5;2009-02-01;43;0
421;2009;6;2009-02-08;73;2
422;2009;7;2009-02-15;66;1
423;2009;8;2009-02-22;32;0
424;2009;9;2009-03-01;19;1
425;2009;10;2009-03-08;32;0
426;2009;11;2009-03-15;26;0
427;2009;12;2009-03-22;36;0
428;2009;13;2009-03-29;26;0
429;2009;14;2009-04-05;13;0
430;2009;15;2009-04-12;15;1
431;2009;16;2009-04-19;10;0
432;2009;17;2009-04-26;9;0
433;2009;18;2009-05-03;5;0
434;2009;19;2009-05-10;7;0
435;2009;20;2009-05-17;10;1
436;2009;21;2009-05-24;6;1
437;2009;22;2009-05-31;7;0
438;2009;23;2009-06-07;8;0
439;2009;24;2009-06-14;21;0
440;2009;25;2009-06-21;11;1
441;2009;26;2009-06-28;1;0
442;2009;27;2009-07-05;8;0
443;2009;28;2009-07-12;9;1
444;2009;29;2009-07-19;4;0
445;2009;30;2009-07-26;2;0
446;2009;31;2009-08-02;2;0
447;2009;32;2009-08-09;2;0
448;2009;33;2009-08-16;1;0
449;2009;34;2009-08-23;3;1
450;2009;35;2009-08-30;1;0
451;2009;36;2009-09-06;4;1
452;2009;37;2009-09-13;1;0
453;2009;38;2009-09-20;0;0
454;2009;39;2009-09-27;2;0
455;2009;40;2009-10-04;1;0
456;2009;41;2009-10-11;2;0
457;2009;42;2009-10-18;3;2
458;2009;43;2009-10-25;5;1
459;2009;44;2009-11-01;3;0
460;2009;45;2009-11-08;6;0
461;2009;46;2009-11-15;7;0
462;2009;47;2009-11-22;5;0
463;2009;48;2009-11-29;5;0
464;2009;49;2009-12-06;2;0
465;2009;50;2009-12-13;2;1
466;2009;51;2009-12-20;7;0
467;2009;52;2009-12-27;4;0
468;2010;1;2010-01-03;0;0
469;2010;2;2010-01-10;13;4
470;2010;3;2010-01-17;19;2
471;2010;4;2010-01-24;19;0
472;2010;5;2010-01-31;21;3
473;2010;6;2010-02-07;29;1
474;2010;7;2010-02-14;24;0
475;2010;8;2010-02-21;34;0
476;2010;9;2010-02-28;35;3
477;2010;10;2010-03-07;42;2
478;2010;11;2010-03-14;39;3
479;2010;12;2010-03-21;33;1
480;2010;13;2010-03-28;50;2
481;2010;14;2010-04-04;45;0
482;2010;15;2010-04-11;42;3
483;2010;16;2010-04-18;48;0
484;2010;17;2010-04-25;64;3
485;2010;18;2010-05-02;81;5
486;2010;19;2010-05-09;95;3
487;2010;20;2010-05-16;71;1
488;2010;21;2010-05-23;85;0
489;2010;22;2010-05-30;72;2
490;2010;23;2010-06-06;48;1
491;2010;24;2010-06-13;32;3
492;2010;25;2010-06-20;55;1
493;2010;26;2010-06-27;39;1
494;2010;27;2010-07-04;46;5
495;2010;28;2010-07-11;48;0
496;2010;29;2010-07-18;47;2
497;2010;30;2010-07-25;38;1
498;2010;31;2010-08-01;68;2
499;2010;32;2010-08-08;51;2
500;2010;33;2010-08-15;56;2
501;2010;34;2010-08-22;33;1
502;2010;35;2010-08-29;32;0
503;2010;36;2010-09-05;22;2
504;2010;37;2010-09-12;30;1
505;2010;38;2010-09-19;35;2
506;2010;39;2010-09-26;24;1
507;2010;40;2010-10-03;24;0
508;2010;41;2010-10-10;19;1
509;2010;42;2010-10-17;18;0
510;2010;43;2010-10-24;22;0
511;2010;44;2010-10-31;31;0
512;2010;45;2010-11-07;46;1
513;2010;46;2010-11-14;42;0
514;2010;47;2010-11-21;51;1
515;2010;48;2010-11-28;75;1
516;2010;49;2010-12-05;80;0
517;2010;50;2010-12-12;90;2
518;2010;51;2010-12-19;138;0
519;2010;52;2010-12-26;87;2
520;2011;1;2011-01-02;0;0
521;2011;2;2011-01-09;253;4
522;2011;3;2011-01-16;330;2
523;2011;4;2011-01-23;337;3
524;2011;5;2011-01-30;552;4
525;2011;6;2011-02-06;906;4
526;2011;7;2011-02-13;1466;6
527;2011;8;2011-02-20;1829;8
528;2011;9;2011-02-27;1969;3
529;2011;10;2011-03-06;1817;3
530;2011;11;2011-03-13;1864;3
531;2011;12;2011-03-20;3118;8
532;2011;13;2011-03-27;4796;7
533;2011;14;2011-04-03;4558;5
534;2011;15;2011-04-10;4831;2
535;2011;16;2011-04-17;3960;8
536;2011;17;2011-04-24;4322;6
537;2011;18;2011-05-01;5674;4
538;2011;19;2011-05-08;4688;7
539;2011;20;2011-05-15;4289;6
540;2011;21;2011-05-22;3436;0
541;2011;22;2011-05-29;2620;1
542;2011;23;2011-06-05;2213;1
543;2011;24;2011-06-12;1367;1
544;2011;25;2011-06-19;1016;1
545;2011;26;2011-06-26;630;1
546;2011;27;2011-07-03;510;1
547;2011;28;2011-07-10;348;1
548;2011;29;2011-07-17;291;2
549;2011;30;2011-07-24;208;0
550;2011;31;2011-07-31;187;0
551;2011;32;2011-08-07;139;0
552;2011;33;2011-08-14;145;3
553;2011;34;2011-08-21;147;1
554;2011;35;2011-08-28;102;0
555;2011;36;2011-09-04;92;1
556;2011;37;2011-09-11;117;0
557;2011;38;2011-09-18;126;0
558;2011;39;2011-09-25;179;0
559;2011;40;2011-10-02;208;0
560;2011;41;2011-10-09;199;0
561;2011;42;2011-10-16;228;0
562;2011;43;2011-10-23;200;0
563;2011;44;2011-10-30;273;0
564;2011;45;2011-11-06;242;1
565;2011;46;2011-11-13;310;0
566;2011;47;2011-11-20;294;0
567;2011;48;2011-11-27;478;0
568;2011;49;2011-12-04;467;0
569;2011;50;2011-12-11;603;1
570;2011;51;2011-12-18;713;2
571;2011;52;2011-12-25;511;1
572;2012;1;2012-01-01;0;0
573;2012;2;2012-01-08;434;6
574;2012;3;2012-01-15;316;7
575;2012;4;2012-01-22;303;3
576;2012;5;2012-01-29;304;7
577;2012;6;2012-02-05;324;3
578;2012;7;2012-02-12;374;7
579;2012;8;2012-02-19;433;1
580;2012;9;2012-02-26;546;6
581;2012;10;2012-03-04;753;16
582;2012;11;2012-03-11;990;11
583;2012;12;2012-03-18;1218;12
584;2012;13;2012-03-25;1749;12
585;2012;14;2012-04-01;2259;7
586;2012;15;2012-04-08;2440;11
587;2012;16;2012-04-15;3012;12
588;2012;17;2012-04-22;3814;13
589;2012;18;2012-04-29;3872;23
590;2012;19;2012-05-06;2964;16
591;2012;20;2012-05-13;2651;19
592;2012;21;2012-05-20;1977;27
593;2012;22;2012-05-27;1704;29
594;2012;23;2012-06-03;1137;25
595;2012;24;2012-06-10;794;17
596;2012;25;2012-06-17;590;7
597;2012;26;2012-06-24;421;9
598;2012;27;2012-07-01;263;8
599;2012;28;2012-07-08;203;5
600;2012;29;2012-07-15;102;3
601;2012;30;2012-07-22;83;1
602;2012;31;2012-07-29;59;2
603;2012;32;2012-08-05;97;3
604;2012;33;2012-08-12;78;4
605;2012;34;2012-08-19;78;0
606;2012;35;2012-08-26;77;2
607;2012;36;2012-09-02;39;0
