,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
92,6,2014,0.0,0.0,0.0,0.0,24.0,24.0,0,0,0,0
93,6,2015,0.0,0.0,0.0,1.0,16.0,17.0,0,0,0,1
94,6,2016,0.0,0.0,0.0,0.0,96.0,96.0,0,0,0,0
95,6,2017,0.0,0.0,0.0,1.0,165.0,166.0,0,0,0,1
96,6,2018,0.0,0.0,0.0,0.0,58.0,58.0,0,0,0,0
97,6,2019,0.0,0.0,0.0,0.0,114.0,114.0,0,0,0,0
98,6,2020,0.0,0.0,0.0,0.0,41.0,41.0,0,0,0,0
99,6,2021,0.0,0.0,0.0,0.0,13.0,13.0,0,0,0,0
100,6,2022,2.0,1.0,0.0,0.0,20.0,23.0,1,1,0,0
101,6,2023,57.0,12.0,0.0,0.0,196.0,265.0,1,1,0,0
928,7,2000,0.0,0.0,0.0,0.0,37.0,37.0,0,0,0,0
929,7,2001,0.0,0.0,0.0,0.0,332.0,332.0,0,0,0,0
930,7,2002,0.0,0.0,0.0,0.0,6594.0,6594.0,0,0,0,0
931,7,2003,0.0,0.0,0.0,0.0,25.0,25.0,0,0,0,0
932,7,2004,0.0,0.0,0.0,0.0,7.0,7.0,0,0,0,0
933,7,2005,0.0,0.0,0.0,0.0,7.0,7.0,0,0,0,0
934,7,2006,0.0,0.0,0.0,0.0,131.0,131.0,0,0,0,0
102,7,2007,0.0,0.0,0.0,0.0,149.0,149.0,0,0,0,0
103,7,2008,0.0,5.0,2.0,0.0,1083.0,1090.0,0,1,1,0
104,7,2009,0.0,0.0,0.0,0.0,31.0,31.0,0,0,0,0
105,7,2010,0.0,0.0,0.0,0.0,29.0,29.0,0,0,0,0
106,7,2011,5.0,2.0,0.0,0.0,1582.0,1589.0,1,1,0,0
107,7,2012,2.0,0.0,1.0,32.0,395.0,430.0,1,0,1,1
108,7,2013,0.0,0.0,0.0,10.0,450.0,460.0,0,0,0,1
109,7,2014,2.0,0.0,0.0,1.0,22.0,25.0,1,0,0,1
110,7,2015,1.0,0.0,0.0,0.0,21.0,22.0,1,0,0,0
111,7,2016,3.0,0.0,0.0,0.0,112.0,115.0,1,0,0,0
112,7,2017,0.0,1.0,0.0,0.0,170.0,171.0,0,1,0,0
113,7,2018,0.0,0.0,0.0,1.0,59.0,60.0,0,0,0,1
114,7,2019,0.0,0.0,0.0,0.0,124.0,124.0,0,0,0,0
115,7,2020,0.0,0.0,0.0,0.0,53.0,53.0,0,0,0,0
116,7,2021,0.0,0.0,0.0,0.0,13.0,13.0,0,0,0,0
117,7,2022,2.0,0.0,0.0,0.0,14.0,16.0,1,0,0,0
118,7,2023,33.0,10.0,0.0,0.0,124.0,167.0,1,1,0,0
